mean_f_lambda,n_data,noise_f_lambda,unc_f_lambda,wavelength
2.116671712048349,2996.0,inf,0.0355118270122542,1024.0
2.4499493342618384,3112.0,inf,0.0384262395759773,1028.0
2.676998259579746,3178.0,inf,0.04082211811650007,1032.0
2.7946662856287987,3268.0,inf,0.03831392384851969,1036.0
2.544347922320608,3344.0,0.0442509906256375,0.03520361880036071,1040.0
2.356643170776394,3415.0,0.038418017641838706,0.03588689723387559,1044.0
2.152521362380344,3480.0,0.035918669269859115,0.0337176445024125,1048.0
2.0389769910684556,3596.0,inf,0.03081327087544743,1052.0
1.9521449352061482,3696.0,inf,0.0339373858646321,1056.0
1.9422398358772397,3820.0,0.03701750447937598,0.03420568000322645,1060.0
1.9703897641223957,3857.0,inf,0.030839983079332053,1064.0
1.9936766221412934,3946.0,inf,0.032040895381500796,1068.0
1.9148439758807785,4045.0,0.03543631096342168,0.029663161336227296,1072.0
1.9162125011049487,4169.0,inf,0.03541731167287329,1076.0
1.9519991064403162,4285.0,inf,0.036142861343677106,1080.0
1.942884760073166,4410.0,inf,0.03434097531870965,1084.0
1.8444845807643233,4519.0,inf,0.030723766442548348,1088.0
1.7812368193134314,4591.0,0.0287849985592758,0.028539236305138823,1092.0
1.6868240966808157,4679.0,inf,0.028317259964048772,1096.0
1.6384958968251135,4750.0,inf,0.025349621578503605,1100.0
1.6371469971594552,4869.0,inf,0.025994283949044746,1104.0
1.6281112386207894,4935.0,inf,0.02761258847720387,1108.0
1.6670392428439396,5046.0,inf,0.027643891472113595,1112.0
1.6755042415801122,5152.0,inf,0.024864040132819454,1116.0
1.6822940996403197,5233.0,inf,0.023362518070230792,1120.0
1.607251105149293,5232.0,inf,0.022752907383511246,1124.0
1.6556212772764212,5323.0,inf,0.021968954493124162,1128.0
1.653789066480085,5354.0,inf,0.02113696184858745,1132.0
1.650263904684442,5452.0,inf,0.021571766891679476,1136.0
1.5735330804374803,5522.0,inf,0.020311854312625756,1140.0
1.56623997372952,5608.0,inf,0.018736884320048514,1144.0
1.5467159347216228,5636.0,0.028435668725912577,0.01836614111530801,1148.0
1.5465309853841571,5668.0,inf,0.018400009422083,1152.0
1.5464836010294736,5703.0,inf,0.017650533427851726,1156.0
1.5330768440649347,5712.0,inf,0.016981431244322158,1160.0
1.5861295727736293,5715.0,inf,0.016489041543852126,1164.0
1.638683751092633,5763.0,inf,0.016681205449138134,1168.0
1.714377495545766,5779.0,inf,0.015345293722034596,1172.0
1.7155852349238299,5788.0,0.025583184768963343,0.015469876361816999,1176.0
1.8155482523395658,5810.0,inf,0.016015538142067652,1180.0
1.886143060670365,5806.0,0.025634667256695314,0.015417457114324205,1184.0
2.0174401269522995,5802.0,inf,0.017944062445823354,1188.0
2.1462652587910696,5800.0,inf,0.016458980177399166,1192.0
2.3417327591060757,5792.0,0.04934191496052182,0.016962421071705133,1196.0
2.6949549146872025,5797.0,0.054651645375539334,0.019409661478320923,1200.0
3.150413518934164,5778.0,inf,0.025559621955071412,1204.0
4.073309746988374,5771.0,inf,0.03781671318198725,1208.0
5.76540444456886,5763.0,inf,0.06250745083087796,1212.0
5.800837906230886,5763.0,inf,0.04691062670255526,1216.0
5.6101561374879845,5758.0,inf,0.0455885255921382,1220.0
5.558185183290316,5738.0,inf,0.05634164164711394,1224.0
4.503811619834617,5716.0,inf,0.03244125411637325,1228.0
4.0027040380655965,5707.0,inf,0.021393145846663665,1232.0
3.8493273670535304,5685.0,inf,0.01788430597705102,1236.0
3.73149392225963,5682.0,inf,0.016528446063001235,1240.0
3.4494314041743603,5686.0,inf,0.01641621666987156,1244.0
3.1537766386067583,5685.0,inf,0.017534910733843223,1248.0
2.845938389251013,5689.0,inf,0.01458308052221227,1252.0
2.568278349773648,5696.0,inf,0.013603777718473313,1256.0
2.3597209919694717,5745.0,inf,0.01213760601072055,1260.0
2.1951978125761604,5734.0,inf,0.014078880809934649,1264.0
2.097487748401709,5763.0,inf,0.012413510507370046,1268.0
1.974019448402113,5760.0,inf,0.013015334936528495,1272.0
1.901920927499576,5735.0,inf,0.011492253875694997,1276.0
1.8037137978341315,5728.0,inf,0.011148899868673718,1280.0
1.7698425325171363,5725.0,inf,0.010599429591315069,1284.0
1.7547845239852855,5717.0,inf,0.009629328902859183,1288.0
1.7531639230090947,5696.0,inf,0.00939214750835911,1292.0
